name,skills,project_count,internship,communication,branch,cgpa,certificates,backlogs,marks_10,marks_12,interest_domain,placed
Vihaan Das,"Deep Learning, Power BI, Machine Learning",3,No,4,Other,7.63,AWS Certified Solutions Architect,No,80.4,76.33,Machine Learning,0
Ishaan Roy,"Automation, Networking, JavaScript, Linux, HTML, Swift",2,Yes,1,CSE,6.06,Data Science Professional Certificate,Yes,70.85,65.37,Web Development,1
Kavya Joshi,Deep Learning,0,No,2,Electrical,8.85,Tableau Certification,No,74.81,96.79,Computer Vision,0
Pooja Roy,Cyber Security,2,Yes,4,CSE,7.34,Google IT Support,No,79.81,78.12,Game Development,1
Leena Pandey,"CI/CD, Docker, Linux, Kubernetes",3,No,2,Civil,5.39,"Coursera ML, Tableau Certification, fast.ai course",Yes,79.04,61.82,DevOps,0
Vihaan Roy,"Angular, NLP",1,No,1,CSE,7.56,UI/UX Design Certificate,No,83.85,78.04,Game Development,0
Leena Shah,Big Data,0,No,4,Electrical,6.46,"Kaggle Micro-Course, CS50 Certificate, Certified Ethical Hacker",No,84.21,63.68,Data Engineering,0
Neha Khan,"SQL, CSS",1,No,4,Mechanical,7.33,AWS Certified Solutions Architect,No,91.77,75.75,Business Intelligence,0
Ananya Desai,"Deep Learning, ETL",2,No,3,CSE,7.44,UI/UX Design Certificate,No,88.24,69.89,Data Engineering,0
Rohit Bhat,"Tableau, Figma, Docker, Kubernetes, Cloud Computing",4,Yes,1,Other,5.97,Certified Ethical Hacker,Yes,79.12,68.31,Cloud Computing,0
Tanvi Rao,"Automation, C++, Selenium",1,No,5,CSE,8.16,"PMP basics, Android Certification",No,69.69,75.06,Software Testing,1
Sneha Bhatt,"C/C++, Automation",0,No,4,Civil,6.9,Tableau Certification,No,84.24,75.48,Internet of Things (IoT),0
Aarav Joshi,"Angular, Java, Swift",1,Yes,4,Civil,5.75,"Google IT Support, Azure Fundamentals",No,80.24,67.27,Mobile Application Development,0
Simran Iyer,SQL,5,Yes,5,CSE,8.48,Python for Everybody,No,68.38,80.89,Business Intelligence,1
Rohit Sharma,"JavaScript, Data Analysis, Kotlin",3,Yes,4,Mechanical,7.95,CS50 Certificate,No,70.97,86.57,Game Development,1
Tara Saxena,"JavaScript, NLP, Swift, VHDL",0,Yes,3,Mechanical,7.38,CS50 Introduction to CS,No,71.97,80.34,Automation,1
Tara Kumar,"Figma, Kubernetes",1,No,3,ECE,6.59,Google IT Support Certificate,No,78.96,71.07,DevOps,0
Manish Das,"VHDL, Deep Learning, Arduino, Linux",1,Yes,2,Mechanical,5.54,PMP Certification,Yes,77.93,54.48,Machine Learning,0
Vihaan Sharma,"UI/UX Design, Figma",1,Yes,3,Mechanical,7.37,CS50 Introduction to CS,No,87.67,86.17,UI/UX Design,0
Ananya Khan,,1,Yes,4,Mechanical,6.33,freeCodeCamp Certificate,No,76.25,68.02,Game Development,0
Ananya Gupta,Automation,2,Yes,4,ECE,8.51,Certified Ethical Hacker,No,75.78,91.11,Software Testing,0
Tanvi Bhat,UI/UX Design,3,Yes,3,Mechanical,7.46,Java Programming Masterclass,No,75.76,74.91,UI/UX Design,1
Manish Kumar,"ETL, Machine Learning",1,No,3,Other,6.45,"Android Certification, fast.ai course, TensorFlow Specialization",No,78.36,60.18,Data Engineering,0
Manish Roy,Azure,0,Yes,4,IT,7.97,Android Certification,No,72.35,78.78,Game Development,1
Tara Saxena,"JavaScript, Cyber Security",1,Yes,2,Civil,10.0,AWS Cloud Practitioner,No,76.01,99.0,Electronics Design,1
Ananya Joshi,"CI/CD, Docker",2,Yes,2,Civil,7.67,Certified Ethical Hacker,No,85.49,79.13,DevOps,1
Pooja Mehta,Data Analysis,0,No,4,Other,6.85,Certified Ethical Hacker,No,75.82,73.42,Game Development,1
Rahul Bhatt,"Embedded Systems, C++",3,Yes,4,Electrical,8.2,"Google IT Support, IBM Data Science Professional Certificate",No,81.08,83.74,Cyber Security,1
Sakshi Singh,"Cloud Computing, Power BI, Kubernetes",0,Yes,4,Mechanical,5.63,CS50 Introduction to CS,Yes,77.23,74.62,Cloud Computing,0
Karan Roy,"Kotlin, Cryptography, Java, Solidity, Blockchain",2,Yes,3,ECE,6.83,PMP Certification,No,79.03,72.16,Blockchain Technology,1
Pooja Joshi,SQL,1,No,3,Electrical,7.51,Data Science Professional Certificate,No,87.92,69.47,Data Engineering,0
Aditya Das,PyTorch,0,No,4,ECE,5.65,Cisco CCNA,Yes,86.84,67.46,Electronics Design,0
Vihaan Iyer,"Hadoop, Cyber Security",1,No,3,ECE,4.84,UI/UX Design Certificate,No,60.44,64.61,Big Data Analytics,1
Pooja Saxena,"SQL, ETL",1,Yes,3,Civil,6.92,UI/UX Design Certificate,No,81.6,75.16,Data Engineering,0
Pooja Gupta,"Linux, Cyber Security, Networking",2,Yes,3,CSE,5.19,Certified Ethical Hacker,No,87.14,61.04,Cyber Security,1
Riya Saxena,"Deep Learning, OpenCV, Computer Vision",0,Yes,2,IT,6.3,PMP Certification,No,80.89,61.4,Computer Vision,0
Kabir Pandey,"React, IT Support, Networking",0,Yes,5,IT,7.08,Data Science Professional Certificate,No,67.01,74.56,Information Technology (IT) Support,1
Tara Nair,"Embedded Systems, NLP, Figma, Python",1,Yes,3,Electrical,5.81,Google IT Support Certificate,Yes,74.63,64.44,Robotics,1
Maya Roy,"Hadoop, Automation, Linux",0,No,4,ECE,4.87,CS50 Introduction to CS,No,72.23,53.44,Software Testing,1
Aditya Desai,"Data Structures, Python",1,No,3,Other,6.89,TensorFlow Specialization,No,67.35,71.86,Software Development,0
Karan Verma,,3,Yes,2,IT,7.9,Google IT Support Certificate,No,76.62,85.8,Game Development,0
Maya Pandey,"Automation, Software Testing",1,Yes,3,Mechanical,6.79,Coursera Python,No,81.33,66.18,Software Testing,0
Arjun Mehta,"Embedded Systems, C/C++",0,No,2,ECE,6.81,AWS Certified Solutions Architect,No,99.0,74.46,Embedded Systems,1
Kavya Nair,,1,Yes,2,Civil,6.75,Java Programming Masterclass,No,77.82,75.32,Electronics Design,0
Manish Bhat,"iOS Development, SEO, Solidity, Blockchain",1,No,4,CSE,6.86,Python for Everybody,No,80.67,67.4,Blockchain Technology,0
Aarav Mehta,"Swift, Java, Solidity, Kotlin",3,No,3,Mechanical,8.11,CS50 Introduction to CS,No,81.41,90.14,Mobile Application Development,1
Ananya Gupta,"C/C++, Embedded Systems, Data Analysis, Python, Tableau",1,No,3,CSE,7.39,"AWS Cloud Practitioner, Android Certification",No,78.15,66.07,Internet of Things (IoT),0
Maya Gupta,"Embedded Systems, Data Analysis, Tableau",1,No,3,Electrical,7.76,Azure Fundamentals,No,72.78,77.0,Embedded Systems,1
Tanvi Iyer,"Swift, Java, Android Development, Kotlin",0,Yes,4,Electrical,7.65,Data Science Professional Certificate,No,79.31,86.7,Mobile Application Development,1
Pooja Pandey,IT Support,2,Yes,3,CSE,6.69,PMP Certification,No,64.09,68.57,Information Technology (IT) Support,0
Kabir Bhatt,Networking,1,No,3,IT,7.66,NPTEL DBMS,No,78.92,73.88,Automation,1
Aditya Bhat,Tableau,2,Yes,4,ECE,7.31,Power BI Certification,No,90.23,80.03,Blockchain Technology,0
Vedant Joshi,"Hadoop, Figma",3,No,3,Mechanical,4.79,PMP Certification,Yes,78.71,52.64,UI/UX Design,0
Isha Roy,"Angular, SEO, Solidity",1,Yes,4,Civil,7.9,"Azure Fundamentals, Android Certification, fast.ai course",Yes,73.47,80.7,Digital Marketing,1
Aditya Malhotra,Cisco,1,No,3,Mechanical,7.99,AWS Certified Solutions Architect,No,70.86,80.12,Networking,0
Karan Roy,"JavaScript, Cloud Computing, Docker, Linux",0,No,2,ECE,6.65,UI/UX Design Certificate,No,92.86,73.9,Cloud Computing,1
Leena Rao,"Embedded Systems, PyTorch",1,No,5,ECE,5.5,CS50 Introduction to CS,No,84.9,67.56,Augmented Reality (AR) / Virtual Reality (VR),0
Aditya Roy,Java,2,No,4,ECE,8.47,Google IT Support Certificate,No,84.78,78.28,Machine Learning,0
Isha Singh,"Java, Figma, Linux, Docker, Cloud Computing",0,Yes,4,Civil,6.71,Data Science Professional Certificate,No,67.49,73.48,Cloud Computing,0
Tanvi Khan,"Deep Learning, Computer Vision, Solidity",0,Yes,4,ECE,7.11,Cisco CCNA,No,66.48,70.8,Computer Vision,1
Manish Singh,,0,No,1,Civil,6.46,AWS Certified Solutions Architect,No,85.03,65.01,Business Intelligence,1
Manish Chopra,"Deep Learning, OpenCV, AWS, Computer Vision",2,No,3,ECE,8.28,Deep Learning Specialization,No,76.11,81.25,Computer Vision,1
Karan Mehta,"Data Analysis, Machine Learning",2,Yes,4,Civil,7.21,PMP Certification,No,83.69,73.44,Data Science,0
Tara Garg,Android Development,0,No,4,IT,6.54,AWS Cloud Practitioner,No,81.42,67.65,Augmented Reality (AR) / Virtual Reality (VR),0
Karan Desai,"Hardware, IT Support, Networking",2,No,4,IT,5.85,Certified Ethical Hacker,No,84.8,57.42,Information Technology (IT) Support,1
Vihaan Kumar,Project Management,0,No,3,Mechanical,7.98,"TensorFlow Specialization, Azure Fundamentals, CS50 Certificate",No,75.61,76.99,Project Management,0
Sakshi Desai,Selenium,3,Yes,3,ECE,6.76,Deep Learning Specialization,No,76.52,77.55,Automation,0
Maya Das,"AWS, Solidity",2,No,3,Other,5.09,Udemy Full Stack,Yes,92.93,64.81,Blockchain Technology,1
Kavya Roy,"ETL, SEO",2,Yes,4,Other,7.78,"Google IT Support, fast.ai course",No,79.19,85.22,Automation,0
Pooja Kapoor,Tableau,0,No,3,Electrical,6.42,Android Certification,No,65.2,75.0,Data Engineering,0
Rahul Joshi,"Cyber Security, Networking",0,No,3,Other,5.98,Kaggle Micro-Course,No,82.4,77.86,Cyber Security,1
Isha Iyer,Software Testing,1,No,4,Electrical,7.54,Data Science Professional Certificate,No,71.77,73.95,Software Testing,0
Prachi Garg,"Embedded Systems, Hadoop, C/C++",1,Yes,4,CSE,7.78,PMP Certification,No,90.77,72.47,Embedded Systems,1
Manish Garg,"JavaScript, CSS, HTML",1,No,4,Other,7.39,Data Science Professional Certificate,No,81.99,77.05,Web Development,1
Ananya Khan,SQL,1,No,3,Civil,7.63,AWS Certified Solutions Architect,No,90.68,76.52,Data Engineering,0
Isha Desai,Database Design,0,No,5,Other,5.75,Certified Ethical Hacker,Yes,97.08,58.32,Database Management,0
Manish Singh,"Embedded Systems, Cyber Security, Linux",0,Yes,2,ECE,8.28,CS50 Introduction to CS,No,80.26,75.21,Cyber Security,1
Vedant Mehta,"SQL, Database Design, Python, PyTorch",1,No,3,Civil,5.3,AWS Certified Solutions Architect,No,83.63,69.21,Database Management,1
Rahul Iyer,Blockchain,4,No,5,Other,6.57,Python for Everybody,No,76.3,64.03,Blockchain Technology,1
Aarav Desai,"ETL, Solidity",0,No,4,Other,7.09,CS50 Introduction to CS,No,82.53,73.19,Blockchain Technology,0
Sakshi Bhatt,Figma,2,Yes,4,Other,7.88,Cisco CCNA,Yes,92.63,92.32,UI/UX Design,0
Simran Kapoor,"Java, Android Development",0,No,3,Electrical,6.03,Deep Learning Specialization,Yes,75.67,65.33,Software Development,0
Kavya Shah,"JavaScript, Tableau, Blockchain",0,No,2,CSE,6.9,PMP Certification,No,90.03,77.24,Web Development,0
Prachi Kapoor,"Kotlin, iOS Development, Linux, Solidity, Docker, Kubernetes",1,Yes,4,ECE,8.66,Azure Fundamentals,No,78.32,82.69,Cloud Computing,1
Ananya Kumar,"TensorFlow, Linux, ETL",2,No,4,ECE,6.42,"Power BI Certification, Certified Ethical Hacker, fast.ai course",No,73.6,71.29,Hardware Design,1
Tanvi Roy,"Unity, SEO, Blockchain",0,Yes,3,CSE,6.6,Google IT Support Certificate,No,94.29,76.15,Database Management,0
Vihaan Chopra,"Deep Learning, OpenCV, Computer Vision",0,No,3,Electrical,5.38,Certified Ethical Hacker,Yes,67.03,59.98,Computer Vision,0
Leena Malhotra,"Deep Learning, SQL",2,Yes,2,Civil,8.72,Azure Fundamentals,No,83.42,85.97,Data Engineering,1
Simran Nair,"Power BI, Database Design",1,No,2,Civil,6.9,AWS Cloud Practitioner,Yes,81.09,71.07,Database Management,0
Rahul Pandey,,3,Yes,3,Mechanical,8.42,TensorFlow Specialization,No,84.25,87.89,Hardware Design,1
Kavya Roy,Deep Learning,3,No,3,IT,8.43,AWS Certified Solutions Architect,No,90.42,78.09,Artificial Intelligence,0
Vihaan Mehta,"Cryptography, Machine Learning",0,No,5,Civil,7.49,Python for Everybody,No,87.1,78.51,Blockchain Technology,0
Simran Patel,"Cryptography, HTML, Solidity, Blockchain",1,No,3,IT,7.69,AWS Certified Solutions Architect,No,77.43,91.58,Blockchain Technology,0
Simran Gupta,"Angular, Data Analysis, Machine Learning",2,Yes,4,Electrical,6.91,Java Programming Masterclass,No,84.39,83.31,Machine Learning,0
Simran Saxena,Embedded Systems,1,No,2,Electrical,5.82,PMP Certification,Yes,87.89,64.71,Robotics,0
Prachi Joshi,"Big Data, SQL, Unity, ETL",1,Yes,4,IT,6.34,"PMP basics, Certified Ethical Hacker",No,80.71,76.81,Data Engineering,0
Tara Desai,"Tableau, Kubernetes",0,No,3,IT,7.08,"Tableau Certification, freeCodeCamp Certificate",No,82.62,78.36,DevOps,1
Sneha Nair,"Cyber Security, iOS Development, Linux, Networking",1,No,3,Electrical,8.06,fast.ai course,No,76.36,83.02,Cyber Security,1
Sneha Roy,SEO,0,No,4,Other,7.98,Python for Everybody,No,78.96,78.55,Digital Marketing,0
Aarav Chopra,Angular,3,No,2,Civil,5.4,Data Science Professional Certificate,Yes,90.46,54.36,Game Development,0
Tanvi Singh,"Embedded Systems, Control Systems, Python",1,No,2,IT,7.35,UI/UX Design Certificate,No,78.74,78.48,Robotics,1
Riya Bhat,ETL,3,No,2,Civil,7.23,"Azure Fundamentals, freeCodeCamp Certificate",No,83.16,83.46,Electronics Design,1
Manish Das,"Docker, Kubernetes",1,Yes,4,Electrical,5.88,AWS Certified Solutions Architect,No,85.35,66.54,Cloud Computing,0
Arjun Bhatt,"JavaScript, Deep Learning, HTML, VHDL",2,Yes,2,ECE,6.98,PMP Certification,No,77.77,68.08,Web Development,1
Karan Malhotra,JavaScript,4,No,3,Other,7.33,"Udemy Full Stack, AWS Cloud Practitioner, Tableau Certification",No,78.64,72.99,Web Development,0
Rohit Saxena,Figma,1,Yes,3,CSE,8.71,Coursera Python,No,84.85,88.1,UI/UX Design,0
Sakshi Gupta,"C/C++, iOS Development, SEO",1,No,4,Other,7.44,AWS Cloud Practitioner,No,73.2,80.9,Embedded Systems,0
Ananya Saxena,"VHDL, Digital Marketing, Swift",2,Yes,4,Civil,6.41,Python for Everybody,No,87.27,64.06,Digital Marketing,1
Ananya Desai,React,1,Yes,3,Civil,5.49,CS50 Introduction to CS,Yes,78.22,67.99,Web Development,0
Kabir Shah,"C++, NLP, Data Structures",3,No,4,Electrical,6.7,Data Science Professional Certificate,No,92.05,64.11,Software Development,0
Rahul Bhatt,PyTorch,0,No,5,IT,6.64,CS50 Certificate,No,78.69,74.4,Hardware Design,1
Isha Singh,"Selenium, Arduino",0,No,3,IT,7.03,PMP Certification,No,81.62,74.2,Robotics,0
Kavya Garg,"Machine Learning, Android Development, Data Analysis, Python, Deep Learning, OpenCV, HTML",1,Yes,3,Mechanical,7.43,AWS Certified Solutions Architect,No,83.76,76.12,Machine Learning,1
Neha Bhat,"JavaScript, SQL",2,Yes,5,ECE,8.23,Java Programming Masterclass,No,81.3,91.49,Data Engineering,0
Rohit Gupta,Kotlin,0,No,2,Electrical,8.5,TensorFlow Specialization,No,91.6,89.61,Game Development,1
Riya Iyer,Hardware,0,No,4,IT,6.5,Deep Learning Specialization,No,85.67,73.36,Information Technology (IT) Support,1
Vihaan Mehta,SQL,0,No,3,Mechanical,6.18,UI/UX Design Certificate,No,77.51,63.15,Game Development,1
Isha Bhat,"Big Data, SQL, ETL",0,Yes,5,Civil,6.7,UI/UX Design Certificate,No,83.25,71.94,Data Engineering,0
Sakshi Joshi,"Automation, Software Testing, SEO",4,Yes,3,Civil,4.17,Google IT Support Certificate,No,82.12,54.53,Software Testing,1
Kavya Iyer,"Deep Learning, Data Analysis, Python, Machine Learning",1,No,4,ECE,4.54,CS50 Introduction to CS,No,81.97,56.26,Machine Learning,1
Kavya Pandey,"Embedded Systems, C/C++, Linux, Android Development",3,Yes,5,IT,6.95,"Tableau Certification, Android Certification",No,76.64,65.77,Embedded Systems,1
Vedant Roy,"SQL, Data Analysis, SEO, Machine Learning",0,Yes,3,ECE,8.02,Google IT Support,Yes,71.9,79.99,Data Science,0
Kabir Mehta,OpenCV,2,Yes,2,Electrical,7.23,Coursera Python,Yes,74.61,77.54,Computer Vision,0
Karan Jain,"Cyber Security, Networking",2,Yes,3,Mechanical,6.89,"Cisco CCNA, Coursera Python",No,76.51,72.21,Cyber Security,0
Ishaan Chopra,SQL,2,No,4,Mechanical,5.94,PMP basics,Yes,77.16,70.31,Hardware Design,0
Rohit Nair,NLP,2,No,2,Electrical,7.86,Certified Ethical Hacker,No,74.16,77.28,Natural Language Processing (NLP),1
Karan Pandey,"Embedded Systems, Control Systems, Python",1,Yes,4,Electrical,7.77,Certified Ethical Hacker,No,76.04,78.43,Robotics,0
Prachi Shah,Machine Learning,2,Yes,2,Civil,6.53,CS50 Introduction to CS,No,89.17,69.7,Automation,0
Aditya Roy,Docker,2,Yes,2,Civil,8.0,Android Certification,No,89.17,76.17,DevOps,0
Rohit Khan,"OpenCV, Solidity",1,Yes,3,IT,5.08,"CS50 Certificate, Udemy Full Stack",No,89.21,56.98,Computer Vision,0
Ishaan Khan,Data Structures,2,No,3,CSE,8.2,Android Certification,No,83.96,84.18,Software Development,1
Pooja Joshi,VHDL,2,Yes,4,Electrical,6.21,Deep Learning Specialization,No,72.67,73.46,Hardware Design,1
Riya Kapoor,"C++, Solidity",0,No,5,IT,6.74,"Google UX Design, PMP basics",No,83.38,71.96,Hardware Design,1
Pooja Nair,"Cloud Computing, Docker, Linux, Kubernetes",3,Yes,5,Civil,6.14,PMP Certification,No,63.08,74.36,Cloud Computing,1
Pooja Khan,"SEO, Digital Marketing",1,Yes,3,Civil,7.08,AWS Certified Solutions Architect,No,79.85,76.16,Digital Marketing,1
Riya Bhat,"Deep Learning, Big Data, SQL, ETL",2,Yes,5,IT,7.57,Python for Everybody,No,75.36,82.11,Data Engineering,1
Neha Nair,HTML,1,Yes,3,Civil,6.48,Coursera ML,No,79.63,60.07,Game Development,0
Rahul Verma,"SQL, ETL",1,No,2,CSE,8.36,Certified Ethical Hacker,No,78.94,97.48,Data Engineering,0
Isha Singh,"Automation, Machine Learning, Kotlin, PyTorch, Python, Deep Learning, Computer Vision",1,No,5,ECE,5.88,Google IT Support Certificate,No,68.63,68.39,Artificial Intelligence,0
Kabir Desai,"Angular, SQL, Database Design",1,No,2,Mechanical,7.52,Java Programming Masterclass,No,76.79,73.01,Database Management,0
Manish Malhotra,"Digital Marketing, Azure",2,Yes,2,IT,6.5,UI/UX Design Certificate,No,76.18,69.37,Digital Marketing,0
Vihaan Khan,"Cisco, React, Networking",2,Yes,1,CSE,6.14,Certified Ethical Hacker,No,80.55,66.8,Networking,0
Vihaan Verma,SEO,0,No,4,Electrical,7.09,"Coursera Python, Azure Fundamentals, Google IT Support",No,74.44,65.76,Game Development,1
Vihaan Desai,UI/UX Design,0,No,2,ECE,5.6,Certified Ethical Hacker,Yes,81.16,70.94,UI/UX Design,0
Kabir Sharma,"HTML, Embedded Systems, Control Systems, Python",5,Yes,3,Other,9.0,Data Science Professional Certificate,No,73.24,87.81,Robotics,1
Sneha Bhatt,Data Analysis,1,No,3,Mechanical,6.09,Google IT Support,No,88.89,64.7,Automation,1
Karan Jain,"C/C++, Python",4,No,2,IT,6.59,CS50 Introduction to CS,No,92.8,72.9,Internet of Things (IoT),0
Ananya Saxena,"Cryptography, SEO, Solidity, Blockchain",1,No,5,IT,6.95,Data Science Professional Certificate,No,74.58,71.2,Blockchain Technology,1
Sneha Khan,"Deep Learning, React, Docker, Machine Learning",1,No,2,Mechanical,6.48,freeCodeCamp Certificate,No,85.79,70.56,Machine Learning,0
Ananya Kapoor,"C/C++, Python",1,Yes,3,ECE,7.35,UI/UX Design Certificate,No,81.11,83.34,Internet of Things (IoT),0
